poi_id,name,name_clean,category,zone,latitude,longitude,address,source,source_url,confidence,notes,record_origin,validation_status,match_method,osm_type,osm_id,extracted_at
P-001,Mbak Kebab,mbak kebab,brand_reference,External/Ponorogo,,,Ponorogo/Jawa Timur,Instagram public,,medium,Bukan POI Sleman; referensi brand.,baseline,verified_baseline_only,baseline_reference,,,
P-002,Istanbul Kebab Turki House Moses,istanbul kebab turki house moses,direct_kebab_competitor,Depok,-7.778,110.386,"Mrican, Caturtunggal, Sleman",GoFood/public listing,,low,"Koordinat centroid manual, perlu validasi.",baseline,verified_baseline_only,baseline_reference,,,
P-003,Heybab Kebab Concat,heybab kebab concat,direct_kebab_competitor,Depok,-7.747,110.402,"Condongcatur, Depok, Sleman",GoFood/public listing,,low,"Koordinat centroid manual, perlu validasi.",baseline,verified_baseline_only,baseline_reference,,,
P-004,H Kebab,h kebab,direct_kebab_competitor,Depok,-7.775,110.389,"Jl. Affandi, Caturtunggal, Sleman",Facebook public post,,low,Koordinat centroid manual.,baseline,verified_baseline_only,baseline_reference,,,
P-005,Kebab Turkiyem UGM,kebab turkiyem ugm,direct_kebab_competitor,Depok,-7.772,110.38,Sekitar UGM,Waze/public map,,low,Koordinat centroid manual.,baseline,verified_baseline_only,baseline_reference,,,
P-006,Kebab Ajib Condong Catur,kebab ajib condong catur,direct_kebab_competitor,Depok,-7.7455,110.401,Condongcatur,Waze/public map,,low,Koordinat centroid manual.,baseline,verified_baseline_only,baseline_reference,,,
P-007,Morgans Kebab Pandega,morgans kebab pandega,direct_kebab_competitor,Ngaglik Selatan,-7.7557642,110.3763824,Pandega/Jakal bawah,Corner/Google Maps coordinate,,medium,Koordinat eksplisit dari sumber publik.,baseline,verified_baseline_only,baseline_reference,,,
P-008,Kebab Turki Baba Rafi Sendangadi,kebab turki baba rafi sendangadi,direct_kebab_competitor,Mlati,-7.745,110.36,Sendangadi/Mlati,public listing,,low,Koordinat centroid manual.,baseline,verified_baseline_only,baseline_reference,,,
P-009,Kebab Bosman Monjali,kebab bosman monjali,direct_kebab_competitor,Mlati,-7.7850401,110.379017,Monjali/Mlati,public listing + OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,medium,Koordinat centroid manual. | Matched OSM node:9200943211.,baseline,matched_osm,direct_competitor_fuzzy,node,9200943211,2026-06-24T16:08:05.739952+00:00
P-010,Jogja City Mall,jogja city mall,mall/titik_keramaian,Mlati,-7.7533986,110.3605445,"Jl. Magelang, Mlati",public web + OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,medium,Titik keramaian/retail. | Matched OSM way:608602428.,baseline,matched_osm,activity_support_fuzzy,way,608602428,2026-06-24T16:08:05.739952+00:00
P-011,Terminal Jombor,terminal jombor,transport/titik_keramaian,Mlati,-7.748,110.362,"Jombor, Mlati",public/BPS context,,medium,Titik traffic.,baseline,verified_baseline_only,baseline_reference,,,
P-012,Morgans Kebab Godean,morgans kebab godean,direct_kebab_competitor,Gamping,-7.78,110.325,Koridor Godean/Gamping,public listing,,low,Koordinat centroid manual.,baseline,verified_baseline_only,baseline_reference,,,
P-013,Kebab Bang Aji,kebab bang aji,direct_kebab_competitor,Gamping,-7.79,110.32,Gamping,public listing,,low,Koordinat centroid manual.,baseline,verified_baseline_only,baseline_reference,,,
OSM-0001,Griya Sentana,griya sentana,hotel,Mlati,-7.7853525,110.363624,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=tourism:hotel; flags: direct=false, food=false, demand=false, support=true; zone normalized from Depok/Mlati to Mlati",osm,osm_only,osm_only,node,492167658,2026-06-24T16:08:05.739952+00:00
OSM-0002,Super Indo,super indo,retail,Depok,-7.801858,110.3729741,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=shop:supermarket; flags: direct=false, food=false, demand=false, support=true",osm,osm_only,osm_only,node,897245281,2026-06-24T16:07:57.357772+00:00
OSM-0003,Hotel Trim Tiga,hotel trim tiga,hotel,Mlati,-7.7804558,110.3670381,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=tourism:hotel; flags: direct=false, food=false, demand=false, support=true; zone normalized from Depok/Mlati to Mlati",osm,osm_only,osm_only,node,1359116507,2026-06-24T16:08:05.739952+00:00
OSM-0004,SMP 6 Yogyakarta,smp 6 yogyakarta,school,Mlati,-7.7782549,110.3669962,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:school; flags: direct=false, food=false, demand=true, support=false; zone normalized from Depok/Mlati to Mlati",osm,osm_only,osm_only,node,1359366165,2026-06-24T16:08:05.739952+00:00
OSM-0005,,,marketplace,Mlati,-7.7830823,110.358983,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:marketplace; flags: direct=false, food=false, demand=false, support=true; zone normalized from Depok/Mlati to Mlati",osm,osm_only,osm_only,node,1360184919,2026-06-24T16:08:05.739952+00:00
OSM-0006,Rumah Makan Pring Sewu,rumah makan pring sewu,restaurant,Mlati,-7.7284566,110.3637196,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati/Ngaglik Selatan to Mlati",osm,osm_only,osm_only,node,1360229988,2026-06-24T16:09:35.619220+00:00
OSM-0007,SDIT Luqman Al-Hakim,sdit luqman al-hakim,school,Depok,-7.7968209,110.3908466,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:school; flags: direct=false, food=false, demand=true, support=false",osm,osm_only,osm_only,node,1360407136,2026-06-24T16:07:57.357772+00:00
OSM-0008,F. Hukum Univ. Janabadra',f. hukum univ. janabadra',university,Depok,-7.7963009,110.3914903,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:university; flags: direct=false, food=false, demand=true, support=false",osm,osm_only,osm_only,node,1360407160,2026-06-24T16:07:57.357772+00:00
OSM-0009,Kantin Calsita,kantin calsita,restaurant,Depok,-7.7637956,110.4100903,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false",osm,osm_only,osm_only,node,1362917046,2026-06-24T16:07:57.357772+00:00
OSM-0010,2nd Experimental State Elementary Scool,2nd experimental state elementary scool,school,Mlati,-7.7729219,110.3718978,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:school; flags: direct=false, food=false, demand=true, support=false; zone normalized from Depok/Mlati to Mlati",osm,osm_only,osm_only,node,1517532161,2026-06-24T16:08:05.739952+00:00
OSM-0011,Asia Afrika,asia afrika,hotel,Mlati,-7.7900951,110.3638906,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=tourism:hotel; flags: direct=false, food=false, demand=false, support=true; zone normalized from Depok/Mlati to Mlati",osm,osm_only,osm_only,node,1640508693,2026-06-24T16:08:05.739952+00:00
OSM-0012,Indraloka,indraloka,hotel,Depok,-7.7795395,110.3752202,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=tourism:hotel; flags: direct=false, food=false, demand=false, support=true; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,1640515471,2026-06-24T16:08:05.739952+00:00
OSM-0013,HokBen,hokben,fast_food,Depok,-7.7576446,110.3817008,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:fast_food; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,1646580099,2026-06-24T16:08:05.739952+00:00
OSM-0014,Grand Diamond Hotel Yogyakarta,grand diamond hotel yogyakarta,hotel,Depok,-7.782535,110.4234932,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=tourism:hotel; flags: direct=false, food=false, demand=false, support=true",osm,osm_only,osm_only,node,1652912717,2026-06-24T16:07:57.357772+00:00
OSM-0015,Villa Hanis,villa hanis,hotel,Mlati,-7.7327152,110.3771558,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=tourism:hotel; flags: direct=false, food=false, demand=false, support=true; zone normalized from Depok/Mlati/Ngaglik Selatan to Mlati",osm,osm_only,osm_only,node,1652969654,2026-06-24T16:09:35.619220+00:00
OSM-0016,Rumah Mertua,rumah mertua,hotel,Mlati,-7.7408272,110.3687121,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=tourism:hotel; flags: direct=false, food=false, demand=false, support=true; zone normalized from Depok/Mlati/Ngaglik Selatan to Mlati",osm,osm_only,osm_only,node,1654208565,2026-06-24T16:09:35.619220+00:00
OSM-0017,Kopi Jos,kopi jos,cafe,Mlati,-7.788877,110.365722,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:cafe; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Mlati",osm,osm_only,osm_only,node,1697828567,2026-06-24T16:08:05.739952+00:00
OSM-0018,RM Padang AMBO,rm padang ambo,restaurant,Depok,-7.7659179,110.3794555,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,1748289552,2026-06-24T16:08:05.739952+00:00
OSM-0019,RM Padang Lima Sekawan,rm padang lima sekawan,restaurant,Depok,-7.7659964,110.3799566,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,1748289570,2026-06-24T16:08:05.739952+00:00
OSM-0020,Boulevard,boulevard,retail,Depok,-7.7661066,110.3804074,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=shop:supermarket; flags: direct=false, food=false, demand=false, support=true; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,1748290351,2026-06-24T16:08:05.739952+00:00
OSM-0021,Wara Computer,wara computer,retail,Depok,-7.7660791,110.3801783,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=shop:supermarket; flags: direct=false, food=false, demand=false, support=true; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,1748290458,2026-06-24T16:08:05.739952+00:00
OSM-0022,Jogja Chicken,jogja chicken,fast_food,Depok,-7.7662178,110.3807467,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:fast_food; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Mlati to Depok",osm,osm_only,osm_only,node,1748292226,2026-06-24T16:08:05.739952+00:00
OSM-0023,Ayam Goreng Pak Parman,ayam goreng pak parman,restaurant,Ngaglik Selatan,-7.7343365,110.3934698,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,,"subcategory=amenity:restaurant; flags: direct=false, food=true, demand=false, support=false; zone normalized from Depok/Ngaglik Selatan to Ngaglik Selatan",osm,osm_only,osm_only,node,1769351619,2026-06-24T16:09:35.619220+00:00
