poi_id,osm_type,osm_id,name,name_clean,category,subcategory,zone,latitude,longitude,amenity,tourism,shop,cuisine,opening_hours,phone,website,source,source_url,extracted_at,raw_tags,is_direct_competitor,is_food_alternative,is_demand_point,is_supporting_facility
OSM-0001,node,492167658,Griya Sentana,griya sentana,hotel,tourism:hotel,Depok/Mlati,-7.7853525,110.363624,,hotel,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""name"": ""Griya Sentana"", ""tourism"": ""hotel""}",false,false,false,true
OSM-0002,node,897245281,Super Indo,super indo,retail,shop:supermarket,Depok,-7.801858,110.3729741,,,supermarket,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:07:57.357772+00:00,"{""check_date"": ""2025-07-13"", ""name"": ""Super Indo"", ""shop"": ""supermarket""}",false,false,false,true
OSM-0003,node,1359116507,Hotel Trim Tiga,hotel trim tiga,hotel,tourism:hotel,Depok/Mlati,-7.7804558,110.3670381,,hotel,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""building:levels"": ""2"", ""building:roof"": ""tile"", ""building:structure"": ""reinforced_masonry"", ""building:use"": ""commercial"", ""building:walls"": ""brick"", ""name"": ""Hotel Trim Tiga"", ""tourism"": ""hotel""}",false,false,false,true
OSM-0004,node,1359366165,SMP 6 Yogyakarta,smp 6 yogyakarta,school,amenity:school,Depok/Mlati,-7.7782549,110.3669962,school,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""amenity"": ""school"", ""name"": ""SMP 6 Yogyakarta""}",false,false,true,false
OSM-0005,node,1360184919,,,marketplace,amenity:marketplace,Depok/Mlati,-7.7830823,110.358983,marketplace,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""amenity"": ""marketplace""}",false,false,false,true
OSM-0006,node,1360229988,Rumah Makan Pring Sewu,rumah makan pring sewu,restaurant,amenity:restaurant,Depok/Mlati/Ngaglik Selatan,-7.7284566,110.3637196,restaurant,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:09:35.619220+00:00,"{""amenity"": ""restaurant"", ""name"": ""Rumah Makan Pring Sewu""}",false,true,false,false
OSM-0007,node,1360407136,SDIT Luqman Al-Hakim,sdit luqman al-hakim,school,amenity:school,Depok,-7.7968209,110.3908466,school,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:07:57.357772+00:00,"{""amenity"": ""school"", ""name"": ""SDIT Luqman Al-Hakim""}",false,false,true,false
OSM-0008,node,1360407160,F. Hukum Univ. Janabadra',f. hukum univ. janabadra',university,amenity:university,Depok,-7.7963009,110.3914903,university,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:07:57.357772+00:00,"{""amenity"": ""university"", ""name"": ""F. Hukum Univ. Janabadra'""}",false,false,true,false
OSM-0009,node,1362917046,Kantin Calsita,kantin calsita,restaurant,amenity:restaurant,Depok,-7.7637956,110.4100903,restaurant,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:07:57.357772+00:00,"{""amenity"": ""restaurant"", ""name"": ""Kantin Calsita""}",false,true,false,false
OSM-0010,node,1517532161,2nd Experimental State Elementary Scool,2nd experimental state elementary scool,school,amenity:school,Depok/Mlati,-7.7729219,110.3718978,school,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""amenity"": ""school"", ""name"": ""2nd Experimental State Elementary Scool""}",false,false,true,false
OSM-0011,node,1640508693,Asia Afrika,asia afrika,hotel,tourism:hotel,Depok/Mlati,-7.7900951,110.3638906,,hotel,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""name"": ""Asia Afrika"", ""tourism"": ""hotel""}",false,false,false,true
OSM-0012,node,1640515471,Indraloka,indraloka,hotel,tourism:hotel,Depok/Mlati,-7.7795395,110.3752202,,hotel,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""name"": ""Indraloka"", ""tourism"": ""hotel""}",false,false,false,true
OSM-0013,node,1646580099,HokBen,hokben,fast_food,amenity:fast_food,Depok/Mlati,-7.7576446,110.3817008,fast_food,,,japanese,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""alt_name"": ""Hoka Hoka Bento"", ""amenity"": ""fast_food"", ""brand"": ""HokBen"", ""brand:wikidata"": ""Q5877948"", ""cuisine"": ""japanese"", ""name"": ""HokBen"", ""takeaway"": ""yes""}",false,true,false,false
OSM-0014,node,1652912717,Grand Diamond Hotel Yogyakarta,grand diamond hotel yogyakarta,hotel,tourism:hotel,Depok,-7.782535,110.4234932,,hotel,,,,+62 274 485005,https://diamond-hotels.com/,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:07:57.357772+00:00,"{""addr:city"": ""Yogyakarta"", ""addr:housenumber"": ""48"", ""addr:postcode"": ""55282"", ""addr:street"": ""Jalan Laksda Adisucipto"", ""brand"": ""Grand Diamond Hotel Yogyakarta"", ""email"": ""info-jogja@diamond-hotels.com"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""customers"", ""name"": ""Grand Diamond Hotel Yogyakarta"", ""phone"": ""+62 274 485005"", ""rooms"": ""193"", ""tourism"": ""hotel"", ""website"": ""https://diamond-hotels.com/""}",false,false,false,true
OSM-0015,node,1652969654,Villa Hanis,villa hanis,hotel,tourism:hotel,Depok/Mlati/Ngaglik Selatan,-7.7327152,110.3771558,,hotel,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:09:35.619220+00:00,"{""name"": ""Villa Hanis"", ""tourism"": ""hotel""}",false,false,false,true
OSM-0016,node,1654208565,Rumah Mertua,rumah mertua,hotel,tourism:hotel,Depok/Mlati/Ngaglik Selatan,-7.7408272,110.3687121,,hotel,,,,+62 274 866680,www.rumahmertua.com,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:09:35.619220+00:00,"{""addr:city"": ""Yogjakarta"", ""addr:country"": ""ID"", ""addr:postcode"": ""55581"", ""addr:street"": ""Jl. Palagan Tentara Pelajar"", ""email"": ""rumahmertua@yahoo.com"", ""fax"": ""+62 274 4361015"", ""name"": ""Rumah Mertua"", ""phone"": ""+62 274 866680"", ""tourism"": ""hotel"", ""website"": ""www.rumahmertua.com""}",false,false,false,true
OSM-0017,node,1697828567,Kopi Jos,kopi jos,cafe,amenity:cafe,Depok/Mlati,-7.788877,110.365722,cafe,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""addr:postcode"": ""68523"", ""addr:street"": ""Jalan Wongsodirjan"", ""alt_name"": ""Kopi Joss"", ""amenity"": ""cafe"", ""name"": ""Kopi Jos""}",false,true,false,false
OSM-0018,node,1748289552,RM Padang AMBO,rm padang ambo,restaurant,amenity:restaurant,Depok/Mlati,-7.7659179,110.3794555,restaurant,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""amenity"": ""restaurant"", ""name"": ""RM Padang AMBO""}",false,true,false,false
OSM-0019,node,1748289570,RM Padang Lima Sekawan,rm padang lima sekawan,restaurant,amenity:restaurant,Depok/Mlati,-7.7659964,110.3799566,restaurant,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""amenity"": ""restaurant"", ""name"": ""RM Padang Lima Sekawan""}",false,true,false,false
OSM-0020,node,1748290351,Boulevard,boulevard,retail,shop:supermarket,Depok/Mlati,-7.7661066,110.3804074,,,supermarket,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""name"": ""Boulevard"", ""shop"": ""supermarket""}",false,false,false,true
OSM-0021,node,1748290458,Wara Computer,wara computer,retail,shop:supermarket,Depok/Mlati,-7.7660791,110.3801783,,,supermarket,,Mo-Su 07:00-21:30,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""name"": ""Wara Computer"", ""opening_hours"": ""Mo-Su 07:00-21:30"", ""shop"": ""supermarket""}",false,false,false,true
OSM-0022,node,1748292226,Jogja Chicken,jogja chicken,fast_food,amenity:fast_food,Depok/Mlati,-7.7662178,110.3807467,fast_food,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:08:05.739952+00:00,"{""amenity"": ""fast_food"", ""name"": ""Jogja Chicken""}",false,true,false,false
OSM-0023,node,1769351619,Ayam Goreng Pak Parman,ayam goreng pak parman,restaurant,amenity:restaurant,Depok/Ngaglik Selatan,-7.7343365,110.3934698,restaurant,,,chicken,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:09:35.619220+00:00,"{""amenity"": ""restaurant"", ""cuisine"": ""chicken"", ""name"": ""Ayam Goreng Pak Parman""}",false,true,false,false
OSM-0024,node,1769351631,Kedai 24,kedai 24,cafe,amenity:cafe,Depok/Ngaglik Selatan,-7.7340935,110.3931782,cafe,,,coffee_shop,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:09:35.619220+00:00,"{""amenity"": ""cafe"", ""cuisine"": ""coffee_shop"", ""name"": ""Kedai 24""}",false,true,false,false
OSM-0025,node,1769351633,Soto Pak Jamal,soto pak jamal,restaurant,amenity:restaurant,Depok/Ngaglik Selatan,-7.7342307,110.3937036,restaurant,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:09:35.619220+00:00,"{""amenity"": ""restaurant"", ""name"": ""Soto Pak Jamal""}",false,true,false,false
OSM-0026,node,1769352229,Siomay Kang Cepot,siomay kang cepot,fast_food,amenity:fast_food,Depok/Ngaglik Selatan,-7.7341938,110.3952303,fast_food,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:09:35.619220+00:00,"{""amenity"": ""fast_food"", ""name"": ""Siomay Kang Cepot""}",false,true,false,false
OSM-0027,node,1769415206,Super Indo,super indo,retail,shop:supermarket,Depok,-7.7728342,110.4085831,,,supermarket,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:07:57.357772+00:00,"{""alcohol"": ""no"", ""branch"": ""Seturan"", ""brand"": ""Super Indo"", ""brand:wikidata"": ""Q12518060"", ""changing_table"": ""no"", ""name"": ""Super Indo"", ""shop"": ""supermarket"", ""toilets"": ""yes"", ""toilets:access"": ""yes"", ""toilets:wheelchair"": ""limited"", ""wheelchair"": ""designated""}",false,false,false,true
OSM-0028,node,1769537992,Jimbaran Resto,jimbaran resto,restaurant,amenity:restaurant,Depok/Mlati/Ngaglik Selatan,-7.7310313,110.3811303,restaurant,,,fish,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:09:35.619220+00:00,"{""amenity"": ""restaurant"", ""cuisine"": ""fish"", ""name"": ""Jimbaran Resto""}",false,true,false,false
OSM-0029,node,1769538005,Iga Sapi Bali,iga sapi bali,restaurant,amenity:restaurant,Depok/Mlati/Ngaglik Selatan,-7.7310099,110.383584,restaurant,,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:09:35.619220+00:00,"{""amenity"": ""restaurant"", ""name"": ""Iga Sapi Bali""}",false,true,false,false
OSM-0030,node,1769538007,Rumah Makan Khao Pad,rumah makan khao pad,restaurant,amenity:restaurant,Depok/Mlati/Ngaglik Selatan,-7.7328141,110.3848526,restaurant,,,thai,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:09:35.619220+00:00,"{""amenity"": ""restaurant"", ""cuisine"": ""thai"", ""name"": ""Rumah Makan Khao Pad""}",false,true,false,false
OSM-0031,node,1769538027,Rumah Palagan,rumah palagan,hotel,tourism:hotel,Depok/Mlati/Ngaglik Selatan,-7.7320593,110.3832218,,hotel,,,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:09:35.619220+00:00,"{""name"": ""Rumah Palagan"", ""tourism"": ""hotel""}",false,false,false,true
OSM-0032,node,1769543339,Bebek Tepi Sawah Jogja,bebek tepi sawah jogja,restaurant,amenity:restaurant,Depok/Mlati/Ngaglik Selatan,-7.7306551,110.3800023,restaurant,,,regional,,,,OpenStreetMap Overpass,https://overpass-api.de/api/interpreter,2026-06-24T16:09:35.619220+00:00,"{""amenity"": ""restaurant"", ""cuisine"": ""regional"", ""name"": ""Bebek Tepi Sawah Jogja""}",false,true,false,false
