poi_id,name,category,zone,latitude,longitude,address,source,confidence,notes,record_origin,osm_type,osm_id,osm_primary_key,osm_primary_value,zone_matches,matched_baseline_poi_id
P-001,Mbak Kebab,brand_reference,External/Ponorogo,,,Ponorogo/Jawa Timur,Instagram public,medium,Bukan POI Sleman; referensi brand.,baseline,,,,,External/Ponorogo,P-001
P-002,Istanbul Kebab Turki House Moses,direct_kebab_competitor,Depok,-7.778,110.386,"Mrican, Caturtunggal, Sleman",GoFood/public listing,low,"Koordinat centroid manual, perlu validasi.",baseline,,,,,Depok,P-002
P-003,Heybab Kebab Concat,direct_kebab_competitor,Depok,-7.747,110.402,"Condongcatur, Depok, Sleman",GoFood/public listing,low,"Koordinat centroid manual, perlu validasi.",baseline,,,,,Depok,P-003
P-004,H Kebab,direct_kebab_competitor,Depok,-7.775,110.389,"Jl. Affandi, Caturtunggal, Sleman",Facebook public post,low,Koordinat centroid manual.,baseline,,,,,Depok,P-004
P-005,Kebab Turkiyem UGM,direct_kebab_competitor,Depok,-7.772,110.38,Sekitar UGM,Waze/public map,low,Koordinat centroid manual.,baseline,,,,,Depok,P-005
P-006,Kebab Ajib Condong Catur,direct_kebab_competitor,Depok,-7.7455,110.401,Condongcatur,Waze/public map,low,Koordinat centroid manual.,baseline,,,,,Depok,P-006
P-007,Morgans Kebab Pandega,direct_kebab_competitor,Ngaglik Selatan,-7.7557642,110.3763824,Pandega/Jakal bawah,Corner/Google Maps coordinate,medium,Koordinat eksplisit dari sumber publik.,baseline,,,,,Ngaglik Selatan,P-007
P-008,Kebab Turki Baba Rafi Sendangadi,direct_kebab_competitor,Mlati,-7.745,110.36,Sendangadi/Mlati,public listing,low,Koordinat centroid manual.,baseline,,,,,Mlati,P-008
P-009,Kebab Bosman Monjali,direct_kebab_competitor,Mlati,-7.75,110.365,Monjali/Mlati,public listing,low,Koordinat centroid manual.,baseline,,,,,Mlati,P-009
P-010,Jogja City Mall,mall/titik_keramaian,Mlati,-7.7533986,110.3605445,"Jl. Magelang, Mlati",public web + OpenStreetMap Overpass,medium,Titik keramaian/retail. | Matched OSM way:608602428.,baseline,,,,,Mlati,P-010
P-011,Terminal Jombor,transport/titik_keramaian,Mlati,-7.748,110.362,"Jombor, Mlati",public/BPS context,medium,Titik traffic.,baseline,,,,,Mlati,P-011
P-012,Morgans Kebab Godean,direct_kebab_competitor,Gamping,-7.78,110.325,Koridor Godean/Gamping,public listing,low,Koordinat centroid manual.,baseline,,,,,Gamping,P-012
P-013,Kebab Bang Aji,direct_kebab_competitor,Gamping,-7.79,110.32,Gamping,public listing,low,Koordinat centroid manual.,baseline,,,,,Gamping,P-013
OSM-0001,Pamella 3,minimarket,Depok,-7.8025186,110.4045317,,OpenStreetMap Overpass,medium,OSM shop=supermarket; zone query match: Depok.,osm,node,10017036413,shop,supermarket,Depok,
OSM-0002,Mr. Blangkon Garden Resto,restaurant,Ngaglik Selatan,-7.6802853,110.4180985,,OpenStreetMap Overpass,medium,OSM amenity=restaurant; zone query match: Ngaglik Selatan.,osm,node,10033029128,amenity,restaurant,Ngaglik Selatan,
